,DateTime,Filter#1_CTRL_FRC,Filter#1_CTRL_PRC,Filter#1_Inlet_Flow,Filter#1_Inlet_Pressure,Filter#1_Turbidity,Filter#2_CTRL_FRC,Filter#2_CTRL_PRC,Filter#2 _Inlet_Flow,Filter#2_Wash_Spray_Flow,Filter#2 _Inlet_Pressure,Filter#2_Outlet_Pressure,Filter#2_Turbidity,FILTER#3_CTRL_FRC,FILTER#3_CTRL_PRC,Filter#3_Inlet Flow,Filter#3_Inlet_Pressure,Filter#3_Turbidity,FILTER#4_CTRL_FRC,Second_Filters_Supply_Tank_Temperature,Filter#4 _Inlet_Flow,Filter#4_Inlet_Pressure,Filter#4 _Turbidity,FILTER#5_CTRL_FRC,FILTER#5_CTRL_PRC,Filter#5_Inlet_Flow,Filter#5_Inlet_Pressure,Filter#5 _Turbidity,FILTER#6_CTRL_FRC,Filter#6_Inlet_Flow,Filter#6 _Inlet_Pressure,Filter#6_Turbidity,Filter#1_Flow_Control_Valve,Filter#2_Flow_Control_Valve,Filter#3_Flow_Control_Valve,Filter#4 _Flow_Control_Valve,Filter#5_Flow_Control_Valve,Filter#6_Flow_Control_Valve
66517,2/8/23 1:28,698.7144,40.79067,853.5974,40.79067,192.2174,174.1652,13.09932,327.1449,0.06868243,13.90498,15.81537,57.61617,71.23103,0.3351836,13.04589,10.06146,216.0336,232.7135,86.3161,522.5013,12.59241,43.10083,576.3077,6.89476,537.2424,-0.604165,70.51205,0.0,0.3734665,-0.900596,93.74429,89.94081,13.12442,3.411479,20.57937,22.35068,0.0
66518,2/8/23 1:33,687.9213,39.70363,837.4689,39.70363,211.713,162.582,12.24401,309.1461,5.688007,13.32343,15.45452,60.99713,101.1804,0.519673,43.1403,8.693146,228.3795,225.162,86.25344,505.5631,12.18015,43.70379,615.1246,7.610233,573.4072,-0.7443973,65.40668,0.0,0.3747545,-0.9014726,93.33736,87.84431,12.25156,4.84585,19.91157,23.85609,0.0
66519,2/8/23 1:39,676.0588,38.50887,819.7422,38.50887,233.1406,149.8509,11.30394,289.3636,11.8642,12.68426,15.05792,64.71314,134.0978,0.7224453,76.21703,7.189236,241.9489,216.8621,86.18458,486.9464,11.72704,44.3665,657.7881,8.39661,613.1559,-0.8985266,59.79539,0.0,0.3761702,-0.9012614,92.89011,85.54004,11.29219,6.422367,19.1776,25.51069,0.0
69047,2/13/23 6:01,789.5839,29.42385,738.3676,29.40643,33.16328,713.4315,32.04548,1458.505,111.6465,32.33645,6.282793,335.7041,99.25183,10.21304,49.35168,13.03174,265.1122,705.4612,85.96729,556.3326,39.81102,439.7374,311.6346,39.93676,455.7081,39.93676,340.9963,81.12191,560.6415,32.55068,263.6419,25.89458,100.0,20.45143,100.0,62.20849,15.79079
69048,2/13/23 6:02,800.0,29.83152,749.2613,29.81475,33.40296,712.3384,32.35176,1471.455,105.9912,32.63167,6.310088,337.3219,95.19261,9.952344,47.96889,12.81211,266.3835,703.5457,85.97936,554.3173,39.827,440.1546,309.7365,39.95021,452.9917,39.95021,342.8539,83.20405,575.7347,32.83865,264.9528,26.24553,100.0,19.67363,100.0,61.8333,16.21622
69049,2/13/23 6:03,797.3063,30.5829,769.3398,30.56736,25.77773,710.3237,32.91628,1495.324,95.5676,33.17579,6.360396,340.3037,87.71092,9.471851,45.42021,12.4073,268.7268,700.015,86.00161,550.6027,39.85647,440.9237,306.2379,39.97499,447.985,39.97499,346.2778,87.04173,603.5536,33.3694,267.369,26.89238,100.0,18.24005,100.0,61.14177,17.00033
69050,2/13/23 6:07,790.0563,32.60524,753.5627,32.59299,5.254522,704.9011,34.43568,1559.566,67.51271,34.64029,6.4958,348.3293,67.57402,8.178609,38.56047,11.31777,275.0336,690.5123,86.06148,540.6049,39.93578,442.9937,296.8215,40.04168,434.5094,40.04168,355.493,97.37078,678.4281,34.79793,273.872,28.63336,100.0,14.38158,100.0,59.28051,19.11078
69051,2/13/23 6:18,772.6335,37.46526,715.6478,37.4609,5.732987,691.8697,38.08704,1713.951,0.09225011,38.15973,6.821199,367.616,19.18179,5.070737,22.07541,8.699435,290.1899,667.6758,86.20535,516.5786,40.12638,447.9682,274.1924,40.20197,402.1255,40.20197,377.6388,122.1932,858.3634,38.23092,289.4999,32.81723,100.0,5.109044,100.0,54.80762,24.18252
69052,2/13/23 6:22,765.7274,39.39167,700.6191,39.39045,5.922642,686.7043,39.53437,1775.147,0.09225011,39.55477,6.950181,375.2609,0.0,3.838834,15.54104,7.661576,296.1976,658.6238,86.26238,507.055,40.20192,449.94,265.2226,40.2655,389.2891,40.2655,386.4169,132.0323,929.6865,39.59169,295.6945,34.47564,100.0,1.433582,100.0,53.03465,26.19286
69053,2/13/23 6:23,763.0337,40.14306,694.7573,40.14306,5.996615,684.6896,40.09889,1799.016,0.09225011,40.09889,7.00049,378.2427,25.44839,3.358341,12.99236,7.256769,298.5408,655.0931,86.28462,503.3404,40.23139,450.709,261.724,40.29028,384.2823,40.29028,389.8408,135.87,957.5054,40.12245,298.1107,35.12249,100.0,0.0,100.0,52.34312,26.97698
69054,2/13/23 6:30,751.3707,40.06677,669.3767,40.06677,6.316904,675.9663,40.02298,1902.362,0.09225011,40.02921,7.218314,391.1534,135.6345,1.277908,1.957132,5.504036,308.6866,639.8062,86.38094,487.257,35.83593,454.039,246.5759,38.16534,362.6043,38.20745,404.6653,152.4863,1077.956,37.68746,308.5721,37.9232,100.0,4.515199,100.0,49.34893,30.37204
69055,2/13/23 6:31,749.9092,40.05721,666.1964,40.05721,6.357038,674.8732,40.01347,1915.312,,40.02048,7.245609,392.7712,149.4416,1.017214,0.5743395,5.284407,309.9579,637.8906,86.39301,485.2417,35.28515,454.4563,244.6777,37.89907,359.8879,37.94646,406.5229,154.5685,1093.049,37.38234,309.8831,38.27415,100.0,5.080985,100.0,48.97374,30.79746
